date,probability,binary_exposure,probability_scaled_exposure
2025-06-30,0.5700331318248348,1.0,0.7334437727494494
2025-07-31,0.4423889294120083,0.0,0.3079630980400277
2025-08-31,0.5633614950569984,1.0,0.711204983523328
2025-09-30,0.11280519762840266,0.0,0.0
2025-10-31,0.3554015140186328,0.0,0.018005046728776043
2025-11-30,0.37587562239490996,0.0,0.08625207464969992
2025-12-31,0.35491213566079494,0.0,0.016373785535983194
2026-01-31,0.40815776293334666,0.0,0.19385920977782223
2026-02-28,0.6625501229347113,1.0,1.0
2026-03-31,0.5159532909999768,1.0,0.5531776366665893
2026-04-30,0.12488372497015235,0.0,0.0
2026-05-31,0.666286151024134,1.0,1.0
