date,training_months,selected_features,positive_training_rate,probability
2022-06-30,181,80,0.5303867403314917,0.6071636090472148
2022-07-31,182,80,0.532967032967033,0.039888066702659895
2022-08-31,183,80,0.5355191256830601,0.7519558370774155
2022-09-30,184,80,0.5380434782608695,0.8086742172138711
2022-10-31,185,80,0.5405405405405406,0.9945617348221045
2022-11-30,186,80,0.5376344086021505,0.973408837661972
2022-12-31,187,80,0.5347593582887701,0.14400527238966335
2023-01-31,188,80,0.5372340425531915,0.4760426751662835
2023-02-28,189,80,0.5396825396825397,0.3508898304757128
2023-03-31,190,80,0.5421052631578948,0.29227668669036266
2023-04-30,191,80,0.5445026178010471,0.8442538783712423
2023-05-31,192,80,0.546875,0.9921062021469743
2023-06-30,193,80,0.5440414507772021,0.27646284837924895
2023-07-31,194,80,0.5412371134020618,0.544162105007718
2023-08-31,195,80,0.5435897435897435,0.31709222725843556
2023-09-30,196,80,0.5459183673469388,0.6060288006480254
2023-10-31,197,80,0.5482233502538071,0.6002290961699351
2023-11-30,198,80,0.5454545454545454,0.38882024654704644
2023-12-31,199,80,0.542713567839196,0.13850862901348374
2024-01-31,200,80,0.545,0.23646713582306053
2024-02-29,201,80,0.5472636815920398,0.37408977127526194
2024-03-31,202,80,0.5495049504950495,0.3241798511994356
2024-04-30,203,80,0.5517241379310345,0.5080140843779944
2024-05-31,204,80,0.553921568627451,0.5202354718610169
2024-06-30,205,80,0.551219512195122,0.6046778034523587
2024-07-31,206,80,0.5485436893203883,0.40934591345112925
2024-08-31,207,80,0.5458937198067633,0.8018169524400943
2024-09-30,208,80,0.5480769230769231,0.8066555791632944
2024-10-31,209,80,0.5502392344497608,0.7017090735740563
2024-11-30,210,80,0.5523809523809524,0.19626713729957257
2024-12-31,211,80,0.5545023696682464,0.4280598161090616
2025-01-31,212,80,0.5566037735849056,0.6285303311475207
2025-02-28,213,80,0.5539906103286385,0.9101493353335245
2025-03-31,214,80,0.5514018691588785,0.3753769605752343
2025-04-30,215,80,0.5488372093023256,0.6038713641687043
2025-05-31,216,80,0.5509259259259259,0.8220897377176195
2025-06-30,217,80,0.5529953917050692,0.5700331318248348
2025-07-31,218,80,0.555045871559633,0.4423889294120083
2025-08-31,219,80,0.5570776255707762,0.5633614950569984
2025-09-30,220,80,0.5590909090909091,0.11280519762840266
2025-10-31,221,80,0.5610859728506787,0.3554015140186328
2025-11-30,222,80,0.5630630630630631,0.37587562239490996
2025-12-31,223,80,0.5650224215246636,0.35491213566079494
2026-01-31,224,80,0.5625,0.40815776293334666
2026-02-28,225,80,0.5644444444444444,0.6625501229347113
2026-03-31,226,80,0.5663716814159292,0.5159532909999768
2026-04-30,227,80,0.5682819383259912,0.12488372497015235
2026-05-31,228,80,0.5701754385964912,0.666286151024134
