freq,period,carry_long,carry_short,spot_long,spot_short,total,gross,resid,universe,tenor,signal,n_buckets,weighting,max_leg_share,vol_window,rebal,vol_target,lev_cap,extra_lag,costs,cost_multiple,exposure,weight_overlay,external_legs,window_start,window_end,n_currencies
ME,2009-01-31,0.0045696050523967545,-2.9904692715596134e-05,-0.01692306198839252,0.01712296836171219,0.00473960673300083,0.004739606733000824,4.7704895589362195e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-02-28,0.004960957716501984,8.335951321464897e-05,-0.019740815275361943,0.03022250836437396,0.015526010318728646,0.015526010318728647,-5.421010862427522e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-03-31,0.005768578461301749,0.00026374296256004683,0.021462700360664444,-0.017791008955014183,0.009704012829512063,0.009704012829512056,3.686287386450715e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-04-30,0.006081039498345224,0.0002866726791169106,0.05632650749798074,-0.019381265426859973,0.043312954248582905,0.0433129542485829,6.613633252161577e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-05-31,0.006317562300713908,-0.00026728039646379056,0.055508416692719324,-0.04866760995489563,0.012891088642073813,0.012891088642073808,4.336808689942018e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-06-30,0.006617167398647837,0.0008913341922367219,0.011814061857231287,0.00630837420340279,0.025630937651518637,0.025630937651518627,1.0625181290357943e-17,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-07-31,0.007034194864662539,0.0005973040769885982,0.027230731736938817,-0.02300380638274114,0.011858424295848817,0.011858424295848814,8.673617379884035e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-08-31,0.006663927028524155,0.0007666268821400361,-0.014723307190545577,0.0008489253384881671,-0.006443827941393221,-0.006443827941393216,-4.662069341687669e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-09-30,0.006180412848599023,0.0008907353368078788,0.038278610781956296,-0.019433292143847626,0.025916466823515567,0.02591646682351557,-2.222614453595284e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-10-31,0.0077487037574679295,0.0008079804635112855,-0.01088798886952306,-0.01068784832249697,-0.013019152971040816,-0.01301915297104081,-6.7220534694101275e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-11-30,0.005265024323324719,0.0007451947000551465,0.013959265399664312,-0.03646420192325626,-0.016494717500212076,-0.01649471750021207,-7.806255641895632e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2009-12-31,0.00811715193267157,0.0008807640750674398,-0.0009479777485039967,0.041016809532063735,0.04906674779129875,0.04906674779129875,-1.7889335846010823e-18,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-01-31,0.006923030945885271,0.0003544060091091114,-0.040925408228613736,0.012501797520929421,-0.021146173752689932,-0.021146173752689932,-9.215718466126788e-19,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
ME,2010-02-28,0.007939688796681246,0.000359669433566794,-0.010695572635186976,-0.012863153894402422,-0.015259368299341361,-0.01525936829934136,0.0,ALL,1M,carry,,inv_vol,0.4,60,ME,0.1,4.0,0,True,1.0,False,,,2007-05-01,2026-06-30,27
