owner,workstream,variant,basis,window_set,window,start,end,n_obs,cum_return,max_drawdown,worst_obs,hit_rate,sharpe,ann_return,ann_vol,share_pnl,note
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,STRESS,gfc_2008,2008-09-01,2009-06-30,217.0,-0.0936109140286977,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.8118881610482898,-0.1056307648840768,0.1301050685942865,-0.093345225460397,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,STRESS,oil_2026,2026-02-01,2026-05-31,85.0,0.0875468496341302,-0.0161468545264291,-0.0132925861879848,0.6352941176470588,,,,0.0872507561603502,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,STRESS,rates_2022,2022-01-01,2022-10-31,216.0,0.1847574414838895,-0.0586481216030669,-0.0150948329772956,0.6064814814814815,2.4039292888370354,0.2013570155078116,0.0837616216262432,0.177117905264887,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,STRESS,semis_2026,2026-04-01,2026-06-30,65.0,0.0921789970274535,-0.0089135866635419,-0.0088509943068855,0.6461538461538462,,,,0.0909865809048035,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),VIX percentile gate (incumbent),daily_net,STRESS,taper_2013,2013-05-01,2013-09-30,109.0,-0.1285559057814608,-0.1905674581609462,-0.0403177730931683,0.4862385321100917,,,,-0.1355691913527683,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,GFC 2008-09,2008-09-01,2009-06-30,217.0,-0.0591311403556239,-0.1781896476585691,-0.0402511930187669,0.5161290322580645,-0.4301207436021675,-0.0607782268406118,0.1413050352596515,-0.0505767912858717,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,calm 2017-19,2017-01-01,2019-12-31,782.0,0.059190074061187,-0.1620708607600838,-0.0363732860181878,0.5230179028132992,0.2304649291305438,0.0239238189499788,0.103806765915466,0.0717432049492368,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,covid 2020,2020-01-01,2020-12-31,262.0,-0.1630717778480565,-0.2688794368677005,-0.0381055203606018,0.4923664122137404,-1.2557181146223484,-0.1627720238647802,0.1296246521965108,-0.1635402165070729,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,euro crisis 2011-12,2011-07-01,2012-12-31,392.0,-0.0509508740301408,-0.1896354671913932,-0.0490595446782844,0.5153061224489796,-0.2239847256138321,-0.0265682134044402,0.1186161839010663,-0.0399385167303258,source: cesare/outputs/p4_tail_overlay_by_episode.csv
Cesare,P4-B tail forecast (null),baseline,daily_net,ERAS,pre-crisis 2007-08,2007-05-01,2008-08-31,349.0,0.2391575666316192,-0.0841491173492076,-0.0268770482285155,0.5501432664756447,1.438267029443672,0.1611410531241289,0.1120383418553779,0.2156627497187367,source: cesare/outputs/p4_tail_overlay_by_episode.csv
