,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar,info_ratio,avg_monthly_turnover,ann_cost_drag,base,alpha_vs_carry_ann,t_alpha_vs_carry
G10_filter63_gross,2007-05-01,2026-06-30,4994,-0.0072847580962755315,0.10923288469819249,4.734850436305005e-05,-0.5698222484407791,4.368532810814682,-0.06669015577500421,-0.5671497661939024,0.011340404708556,0.019306189230231613,0.01650983995794768,0.02582924281344789,0.5088105726872246,0.03297656743187634,-0.06442456312189997,-0.015738935812612046,-0.013178961078779028,-0.09000911475832112,-0.023237179779200125,0.004193524050262407,0.7914910655205883,,G10_carry_gross,-0.01768187989254762,-0.873162125530531
G10_filter63_net,2007-05-01,2026-06-30,4994,-0.017247787852880225,0.10935452503614289,4.745401645190635e-05,-0.5687562025126978,4.355059699766408,-0.15772358617240245,-0.6233157879739804,0.011368292970006189,0.019364308199778094,0.016561141550172742,0.025953120851730897,0.5064076892270725,0.03297656743187634,-0.06442456312189997,-0.01601278880854239,-0.022975823812142138,-0.21206351937558626,-0.036860647933886825,-0.07733491024327395,0.7914910655205883,0.010098497701002147,G10_carry_net,-0.02468269320127849,-1.2175802021941484
G10_blend63_gross,2007-05-01,2026-06-30,4994,-0.0005044086823208919,0.11213457856919333,4.989747504321663e-05,-0.7442479808829996,7.387271403294673,-0.00449824388477675,-0.5905817475612402,0.011419276033563014,0.02021100658528784,0.017274774373789513,0.028119579965617137,0.5164197036443733,0.037843716582986915,-0.08282735335920846,-0.02769138684113362,-0.0067907979092814985,-0.006043506160249154,-0.011498489307066383,0.05996240624987306,1.1282724491631009,,G10_carry_gross,-0.013013792735075524,-0.7311423884574745
G10_blend63_net,2007-05-01,2026-06-30,4994,-0.015890579237607255,0.1122857477087917,5.003209975604134e-05,-0.7445477548914801,7.337413491786719,-0.14151911139086676,-0.6587408730225393,0.0114688815021423,0.02061107423890989,0.017346745924291147,0.028317860643796985,0.513015618742491,0.037843716582986915,-0.08282735335920846,-0.029898004722380675,-0.021973451709868752,-0.18902066440232548,-0.033356745588059046,-0.06645215096986047,1.1282724491631009,0.01538263831201335,G10_carry_net,-0.024827769884350634,-1.393115001349714
G10_mom252_gross,2007-09-03,2026-06-30,4905,-0.0031355343834379807,0.1135266841733363,5.114407944203352e-05,0.14046546367960303,10.848509945124448,-0.027619360208306118,-0.36984200387526445,0.010681382748344185,0.01935492784153547,0.01635186056124062,0.02661847635672727,0.5131498470948013,0.06694097248060749,-0.07149320127410702,-0.02696240815416564,-0.009530797341155361,-0.03869715294394358,-0.025769915913525565,0.028495704223455116,0.8667352907412174,,G10_carry_gross,-0.003939075192611251,-0.1558477935740964
G10_mom252_net,2007-09-03,2026-06-30,4905,-0.01453870608077943,0.11371819859820025,5.131678052547505e-05,0.13965070456761697,10.7759678723131,-0.12784854368076076,-0.4700362500211056,0.010790920463956155,0.01937600849325212,0.016454606399781118,0.026630072901852396,0.5100917431192661,0.06694097248060749,-0.07149320127410702,-0.027021129794188813,-0.02078341042286147,-0.1782683267999407,-0.04421661185052909,-0.04776992990766229,0.8667352907412174,0.011425211956128587,G10_carry_net,-0.015131393675541137,-0.6003632307030705
G10_filter252_gross,2007-05-01,2026-06-30,4994,0.005514507369558859,0.11393374329198426,5.151149944652289e-05,-1.1123127937503827,10.737519701049987,0.04840100228627202,-0.4309228186850559,0.011495110983978582,0.020196176729230363,0.0176188534557038,0.029387315975835927,0.526231477773328,0.040066850233665026,-0.08158634476441971,0.010391942559669616,-0.0010108198279380476,0.06402620065144185,-0.0023457096818927455,0.10632247750075474,0.5353980295932634,,G10_carry_gross,-0.005487648541690144,-0.25617336243306704
G10_filter252_net,2007-05-01,2026-06-30,4994,-0.0004889028923328589,0.11398766533418314,5.156026923943547e-05,-1.111328197170585,10.712310645617958,-0.004289085936618833,-0.440903066064144,0.011529271159739429,0.020319297082569635,0.017652071682436692,0.029469752570451067,0.5234281137364838,0.040066850233665026,-0.08158634476441971,0.010436690978747002,-0.006996564805336392,-0.0056619026185427,-0.015868714336222167,0.05834102054296602,0.5353980295932634,0.006009936409391735,G10_carry_net,-0.008348452603050057,-0.3900855209132479
G10_blend252_gross,2007-09-03,2026-06-30,4905,0.031295299431366254,0.10880216955237194,4.6975841663901155e-05,-0.1837485068301153,7.059478358132082,0.28763488412151794,-0.2003091769215931,0.01103700454456165,0.0188106915497748,0.016153289582692312,0.025629416925604002,0.5292558613659532,0.07899746472462618,-0.05021291080867987,-0.019180360523164554,0.025695309183407344,0.39840012668344715,0.12827824255633202,0.3241314199312176,0.6655936871257666,,G10_carry_gross,0.019120915518230183,1.0887356773348302
G10_blend252_net,2007-09-03,2026-06-30,4905,0.022829579931689086,0.10887122444159843,4.703549012465436e-05,-0.1821059421173807,7.042411467995902,0.20969342495027704,-0.21907068048357003,0.011050106217591386,0.0188106915497748,0.016205066360819975,0.025638899613609642,0.5257900101936799,0.07899746472462618,-0.05021291080867987,-0.02044340329876775,0.017041625135914895,0.28951009292074353,0.07779053362274552,0.25303063722531655,0.6655936871257666,0.008457933433498694,G10_carry_net,0.014058535650406418,0.8035839572903611
