variant,window_set,window,start,end,n_months,cum_return,max_drawdown,worst_month,hit_rate,cost_vol_pts
vrp_xs,ERAS,tightening 2021-23,2021-01-01,2023-12-31,36,1.1609479957703317,-0.044135341258286886,-0.041265772711342165,0.75,0.0
carry+short_vol,ERAS,tightening 2021-23,2021-01-01,2023-12-31,36,0.7262343548677295,-0.15474120946158698,-0.13577923773681333,0.75,0.0
carry,ERAS,recent 2024-26,2024-01-01,2026-06-30,30,0.7092875638921106,-0.09054860918975671,-0.05359477252482292,0.7666666666666667,0.0
short_vol,ERAS,recent 2024-26,2024-01-01,2026-06-30,30,1.0271910836688503,-0.11982860952531682,-0.11982860952531683,0.8666666666666667,0.0
vrp_xs,ERAS,recent 2024-26,2024-01-01,2026-06-30,30,1.05762498625332,-0.03422977214678202,-0.023756044839081777,0.7333333333333333,0.0
carry+short_vol,ERAS,recent 2024-26,2024-01-01,2026-06-30,30,0.9656237330716884,-0.11564788529613279,-0.11090017581072227,0.8333333333333334,0.0
carry,STRESS,gfc_2008,2008-09-01,2009-06-30,10,-0.05913114035562317,-0.07539353827114659,-0.07971806898957068,0.7,0.0
short_vol,STRESS,gfc_2008,2008-09-01,2009-06-30,10,-0.06746083457954943,-0.08828865904173477,-0.10572083600232027,0.8,0.0
vrp_xs,STRESS,gfc_2008,2008-09-01,2009-06-30,10,0.40370471797382423,0.0,0.0064699035561125405,1.0,0.0
carry+short_vol,STRESS,gfc_2008,2008-09-01,2009-06-30,10,-0.08097432002796845,-0.05602148008319641,-0.09823585766997305,0.7,0.0
carry,STRESS,euro_2011,2011-07-01,2012-12-31,18,-0.0509508740301412,-0.1291107061239779,-0.052993515517237855,0.4444444444444444,0.0
short_vol,STRESS,euro_2011,2011-07-01,2012-12-31,18,0.6364528274509293,-0.09993591723594575,-0.09332044114422842,0.8888888888888888,0.0
vrp_xs,STRESS,euro_2011,2011-07-01,2012-12-31,18,0.5440556112085997,-0.013481749583015068,-0.013481749583015021,0.7777777777777778,0.0
carry+short_vol,STRESS,euro_2011,2011-07-01,2012-12-31,18,0.2708696193125999,-0.11020220691030091,-0.09549509837348052,0.7222222222222222,0.0
carry,STRESS,taper_2013,2013-05-01,2013-09-30,5,-0.1285559057814608,-0.10498263391126816,-0.05077294354854833,0.2,0.0
short_vol,STRESS,taper_2013,2013-05-01,2013-09-30,5,-0.017192560804032753,-0.029152699906755952,-0.07864550340275629,0.6,0.0
vrp_xs,STRESS,taper_2013,2013-05-01,2013-09-30,5,-0.11364854370789601,-0.0667114071249928,-0.0535895311864005,0.4,0.0
carry+short_vol,STRESS,taper_2013,2013-05-01,2013-09-30,5,-0.09030696848029118,-0.03877562825775527,-0.07013583264079117,0.4,0.0
carry,STRESS,china_em_2015,2015-06-01,2016-02-29,9,-0.05188478451008438,-0.04654179822313609,-0.02920672511820932,0.3333333333333333,0.0
short_vol,STRESS,china_em_2015,2015-06-01,2016-02-29,9,-0.07330814013072506,-0.17916474106112035,-0.17916474106112035,0.7777777777777778,0.0
vrp_xs,STRESS,china_em_2015,2015-06-01,2016-02-29,9,0.25833473391585504,-0.05090954619780452,-0.035936899908054064,0.7777777777777778,0.0
carry+short_vol,STRESS,china_em_2015,2015-06-01,2016-02-29,9,-0.06865811300887881,-0.10834717774750768,-0.10712993853120602,0.5555555555555556,0.0
carry,STRESS,covid_2020,2020-02-01,2020-04-30,3,-0.19618650104557145,-0.13976777909876859,-0.13976777909876859,0.3333333333333333,0.0
short_vol,STRESS,covid_2020,2020-02-01,2020-04-30,3,-0.21724746880774592,-0.21760012858716116,-0.21760012858716116,0.3333333333333333,0.0
vrp_xs,STRESS,covid_2020,2020-02-01,2020-04-30,3,0.09182810067713465,-0.009557754023921228,-0.009557754023921063,0.6666666666666666,0.0
carry+short_vol,STRESS,covid_2020,2020-02-01,2020-04-30,3,-0.17812734057637758,-0.14978848870079386,-0.14978848870079392,0.3333333333333333,0.0
carry,STRESS,rates_2022,2022-01-01,2022-10-31,10,0.25543093829233077,-0.0008230577484932278,-0.0008230577484932278,0.9,0.0
short_vol,STRESS,rates_2022,2022-01-01,2022-10-31,10,0.05520540681678243,-0.05463436744969741,-0.025992127154665937,0.6,0.0
vrp_xs,STRESS,rates_2022,2022-01-01,2022-10-31,10,0.3449057061651166,-0.008249526364374815,-0.008249526364374853,0.9,0.0
carry+short_vol,STRESS,rates_2022,2022-01-01,2022-10-31,10,0.1579011803852579,-0.023470160136019214,-0.011966285530060605,0.8,0.0
carry,STRESS,oil_2026,2026-02-01,2026-05-31,4,0.1007486528886894,0.0,0.00030076788382049635,1.0,0.0
short_vol,STRESS,oil_2026,2026-02-01,2026-05-31,4,0.17286651751841853,0.0,0.004613614192633335,1.0,0.0
vrp_xs,STRESS,oil_2026,2026-02-01,2026-05-31,4,0.15495843667362386,0.0,0.006423686247619219,1.0,0.0
carry+short_vol,STRESS,oil_2026,2026-02-01,2026-05-31,4,0.178403896870019,0.0,0.0204555852639868,1.0,0.0
carry,STRESS,semis_2026,2026-04-01,2026-06-30,3,0.1168042666554121,0.0,0.00030076788382049635,1.0,0.0
short_vol,STRESS,semis_2026,2026-04-01,2026-06-30,3,0.17020062450771611,0.0,0.0425205833070975,1.0,0.0
vrp_xs,STRESS,semis_2026,2026-04-01,2026-06-30,3,0.1648943301569339,0.0,0.006423686247619219,1.0,0.0
carry+short_vol,STRESS,semis_2026,2026-04-01,2026-06-30,3,0.2732656371239748,0.0,0.0204555852639868,1.0,0.0
