date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
2010-08-31,0.18559238163572614,0.0,-0.22346893087955774,-0.1839079427591187,0.0,-0.22818023999836293,0.24818774729500812,0.20177698470630512,0.0
2010-09-30,0.26099847944985194,0.0,-0.2460617080857105,-0.2410157217924992,0.0,-0.3041206148511361,0.2758431101678494,0.2543564551116445,0.0
2010-10-31,0.3070007042051391,0.0,-0.2622217811990732,0.0,-0.3311510784177941,-0.26644961408738704,0.2560962813633787,0.2967254881357367,0.0
2010-11-30,0.3565630446143711,0.0,-0.3026135654409107,0.0,-0.3888584753095303,-0.3212982188745575,0.2930136772170422,0.3631935377935853,0.0
2010-12-31,0.45171320365665923,0.0,-0.4284620209204931,-0.3676208379722328,0.0,-0.492656809312492,0.400908975338888,0.4361174892096708,0.0
2011-01-31,0.4880707652393164,0.0,-0.4298105506364101,-0.41245594384851336,0.0,-0.5615166013419154,0.4618297519923632,0.45388257859515957,0.0
2011-02-28,0.5524825305066027,0.0,-0.4676396932762476,0.0,-0.5512183656101202,-0.5915070654071387,0.5456708515895681,0.512211742197336,0.0
2011-03-31,0.6324355855886067,0.0,-0.4876328607032527,0.0,-0.6357419933214132,-0.6407577238874841,0.6207192169806,0.5109777753429434,0.0
2011-04-30,0.3491586495955875,0.0,-0.3103428543750093,0.0,-0.39818570679390997,-0.31545885646046884,0.3536502565125285,0.3211785115212721,0.0
2011-05-31,0.33417294743227705,0.0,-0.2923908385094749,0.0,-0.37621821846382075,-0.27193472557958326,0.301687931338753,0.3046829037818489,0.0
2011-06-30,0.3011595143488143,0.0,-0.2597273631340504,0.0,-0.3458295925185183,-0.25901603759529174,0.25743982903761814,0.305973649861428,0.0
2011-07-31,0.3917384068706115,0.0,-0.27029615879093566,0.0,-0.3787750625613697,-0.40037867344577294,0.2835402592572404,0.37417122867022634,0.0
2011-08-31,0.3936954710820628,0.0,-0.24908785078917328,0.0,-0.36118794156133516,-0.3997679388788589,0.2793019038900846,0.33704635625721985,0.0
2011-09-30,0.2584389823990875,0.0,-0.14122580114184635,0.0,-0.28678252342165705,-0.28678252342165705,0.24477779122033438,0.21157407436573855,0.0
2011-10-31,0.22864698936769856,0.0,-0.1257343132746622,-0.25949474512203546,0.0,-0.25949474512203546,0.0,0.20447937886412615,0.21159743528690847
2011-11-30,0.2508282861459528,0.0,-0.14643936020904091,0.0,-0.30752428347769073,-0.30752428347769073,0.0,0.24833784259450697,0.26232179842396247
2011-12-31,0.25410320571805534,0.0,-0.23838019322891488,-0.2588945316287666,0.0,-0.3315224197469415,0.0,0.26674593293771315,0.3079480059488546
