,start,end,n_days,ann_return,ann_vol,daily_variance,skew,excess_kurtosis,sharpe,max_drawdown,VaR_95,VaR_99,CVaR_95,CVaR_99,hit_rate,best_day,worst_day,autocorr_1d,cagr,sortino,calmar
SEK,2007-01-02,2026-06-30,5079,-0.01738586638857195,0.11721769953919989,5.45237662113577e-05,-0.03028560635033609,2.8730415692605233,-0.14832117041128057,-0.5426925403688687,0.011785409608398157,0.020066124577526052,0.017029521515039513,0.02551875017879035,0.501673557786966,0.049790772149111984,-0.04222696362218903,-0.019505937932384244,-0.023966312057634886,-0.2065136407636891,-0.04416186012312784
BRL,2007-01-03,2026-06-30,4735,-0.04077844505426857,0.16362729385396568,0.00010624560037290487,-0.16048156215871928,4.417838243248024,-0.24921542179058817,-0.7745866100426445,0.01662969080389851,0.027599165035616696,0.023964106229956865,0.037828212523417844,0.49545934530095037,0.0758721400407465,-0.07111621945199098,-0.06362594639131906,-0.05274813978579784,-0.34365740213653373,-0.06809843999613396
CLP,2007-01-03,2026-06-26,4612,-0.029166641642167552,0.12101784233198569,5.811634191543391e-05,-0.10194791106187388,4.347733564202647,-0.24101108630044255,-0.6284441650530683,0.011927102906346354,0.021476122885782045,0.017978867207384626,0.027810518851356478,0.5004336513443192,0.07369427981169263,-0.04578615229961169,0.03960631461293159,-0.0358384720031355,-0.3309538165158503,-0.05702729692797635
CNH,2010-08-24,2026-06-30,4121,-0.0017961283847661319,0.0415755047752905,6.8592166560325495e-06,0.038492831921057985,8.763253030041888,-0.04320160138701724,-0.20277804620970052,0.00399562102155171,0.0073540092585262055,0.0061874358142947564,0.009900872677755216,0.5013346275175928,0.020003146600926947,-0.027472467674950485,-0.02150395103313461,-0.0026566404283280276,-0.06125602718161816,-0.013101223125410205
CNY,2007-01-02,2026-06-30,4703,0.00908209805237709,0.03112793932162788,3.845034152424394e-06,-0.039579980967703494,8.693350979487178,0.2917667616393352,-0.15396856981688278,0.0028898094369718573,0.006000316621437456,0.004780831578341045,0.007939646126966168,0.49394003827344246,0.016070369179771893,-0.018334205907343915,-0.005995994315999329,0.008634627267770867,0.416992125887575,0.056080453809762364
COP,2007-01-03,2026-06-26,4600,-0.03969878030356051,0.13166162045277913,6.87888186517923e-05,-0.03810691933675324,4.93672785094871,-0.3015212798311153,-0.7442568688979554,0.013341807801116535,0.023789044645243215,0.01968882034591887,0.030405130769966215,0.4945652173913043,0.07599909061403665,-0.056036027163417046,0.069449278551966,-0.04722292462154498,-0.415760238609505,-0.06344976659935897
HUF,2007-01-02,2026-06-30,5071,-0.021983956988461565,0.14056086250913874,7.840220662425795e-05,-0.1830356516242594,3.543105838027014,-0.15640169387145195,-0.712602134356451,0.01399572092053969,0.025681633239585545,0.021173853996904628,0.03221816482933323,0.5010845986984815,0.054984137933523414,-0.06864931741675129,0.026477320860737584,-0.03137388718670553,-0.21591453884566933,-0.04402721473047397
IDR,2007-01-03,2026-06-30,4612,-0.033731135703315,0.07104897297524126,2.003157365411335e-05,0.034063599515049364,21.918104099674878,-0.47475894852230205,-0.512512635296954,0.006132216015311265,0.011728863632061817,0.010616987737877547,0.01994502693733659,0.4668256721595837,0.06425243903005473,-0.04488240100962315,0.06837605122396485,-0.03560842367133987,-0.658280378469362,-0.06947813813547847
ILS,2007-01-03,2026-06-30,5081,0.017503705708979432,0.08405493164386765,2.8036633070060564e-05,-0.09794387584307894,3.1371341973098397,0.20824126992501624,-0.2539830196950119,0.00844488168681412,0.014674156791600577,0.012229668459253726,0.019285484791349682,0.5123007282031097,0.03174691264971918,-0.02997874002713541,0.031629878745905386,0.014068182053005751,0.29387486934471785,0.05539024644206182
INR,2007-01-03,2026-06-30,4411,-0.055521319284587055,0.06610211083469407,1.733924228889753e-05,-0.2940829590978031,7.433361843853406,-0.839932622173487,-0.6858808397086659,0.006978617404922449,0.012497516516108042,0.010515697582698182,0.016855478469933426,0.4842439356155067,0.03322810124334197,-0.039328206765504525,0.03349222678995663,-0.05608072514633744,-1.113479478830975,-0.08176453094995079
KRW,2007-01-03,2026-06-30,4735,-0.024200088025761877,0.10937901319045316,4.747527193062431e-05,0.779886031258074,45.83844718633334,-0.22124982955938857,-0.4509066237275243,0.009087818079072907,0.017644688677083964,0.015231884747240207,0.02906465024407323,0.4903907074973601,0.13236070764018315,-0.10258759791335237,-0.01212888456147564,-0.029717746269646073,-0.3139400240970081,-0.06590665274326073
MXN,2007-01-02,2026-06-30,5075,-0.023870628007311604,0.12447878145871949,6.148796441844303e-05,-0.7353974579222977,8.306609176239427,-0.19176463432225793,-0.6518404770217404,0.012480039835902313,0.022009393368375426,0.019096134263838955,0.03213398868364763,0.518423645320197,0.06652730975883214,-0.07976642386532706,-0.018262878234561724,-0.03115604523258808,-0.25500667058123594,-0.04779703981400491
MYR,2007-01-05,2026-06-30,4684,-0.008381946360531833,0.06322610745345482,1.5863256602046883e-05,0.3926209731798838,4.936197048760031,-0.13257096946387809,-0.40682928298555054,0.006284327099921605,0.010712343419925397,0.009093110244568792,0.013740075757565086,0.4816396242527754,0.03470196335868603,-0.019876896671237265,0.05080533072380473,-0.010324932593888558,-0.191856449292504,-0.02537903003962296
PEN,2007-01-03,2026-06-26,4673,-0.0021582543300483264,0.05754329812916841,1.3139806188818876e-05,0.15296345905761224,7.1761132727362655,-0.037506615022372486,-0.3541890433916588,0.005438671048780463,0.010287618662254614,0.00865183417823268,0.01435505111437836,0.4876952707040445,0.02848768355892295,-0.023214439931925845,0.03970916007980912,-0.003805791465920527,-0.053458897499962056,-0.0107450852501728
PHP,2007-01-04,2026-06-30,4612,-0.01155091326210169,0.055806638945812,1.2358654565191348e-05,0.004849419236150178,2.2974281662197966,-0.20698098793080116,-0.3375354485004849,0.005889573029781703,0.009160007103082202,0.008021929382331695,0.011431456685901972,0.4997831743278404,0.025299898231533557,-0.019395259757738703,-0.037816679269207024,-0.013022668313870889,-0.28716738206135023,-0.03858163156410572
PLN,2007-01-03,2026-06-30,5060,-0.011819683018801345,0.13286610297256093,7.005317983775859e-05,-0.21206024925527825,4.741587669416679,-0.08895935648268623,-0.6475656601897086,0.01320246242443287,0.023756289637999126,0.02003819086027106,0.03255368980491091,0.5092885375494071,0.06549181932943404,-0.05165535830511825,0.02143845486936936,-0.020446654827272148,-0.12235792021945459,-0.03157464344431446
SGD,2007-01-02,2026-06-30,5075,0.008744551117703558,0.05199319767193872,1.0727351603782909e-05,0.02958461430663645,3.879235883441403,0.16818644571313,-0.18653547129612835,0.005079692757562026,0.008830676353440915,0.007323472334357815,0.011425346674949882,0.5038423645320197,0.023811596848159644,-0.026701660747518202,-0.012955357433479427,0.007420547430873503,0.24042076840398133,0.03978089196286562
THB,2007-01-02,2026-06-30,4725,-0.0020342111692417337,0.05876452779120148,1.3703451295725758e-05,0.1006044450935762,6.922483687922387,-0.03461631099069779,-0.32267196108756113,0.005723364698039024,0.010076617744948013,0.00849342646935982,0.01311876987463174,0.4924867724867725,0.03173953673640684,-0.038132376387048694,0.017849327997009338,-0.003753145071402786,-0.049334719205851967,-0.011631457095785036
TRY,2007-01-04,2026-06-30,5071,-0.17265094704508246,0.15426897416871183,9.444014440899471e-05,0.539657696199157,65.85837325896264,-1.1191553452366108,-0.9798474126058786,0.01354741913150792,0.028362075638966488,0.024003718872800475,0.046510191424438685,0.4415302701636758,0.20806883869805626,-0.14742614255682462,0.08709812562628061,-0.16857846940426924,-1.479397745169034,-0.17204563408086082
ZAR,2007-01-02,2026-06-30,5073,-0.039730433716269165,0.16277347952729007,0.00010513970491040127,-0.9452191860274353,12.61750530648952,-0.24408419499079448,-0.7319736456746316,0.01668310912968156,0.026490687379417784,0.02382750985094259,0.036981413186310146,0.5136999802877982,0.06629924531060949,-0.15496497386370311,-0.015675061179791887,-0.051696099395135975,-0.3253250589343413,-0.07062562935239244
